text,sentiment
"Easypaisa se recharge smooth hai, kabhi kabhi server error aa jata hai",neutral
OLX use karna easy hai lekin har ad pe trust nahi hota,neutral
"FoodPanda app simple hai, lekin kabhi glitch bhi karti hai",neutral
YouTube vlogs interesting hote hain lekin har time informative nahi hote,neutral
"JazzCash app user friendly hai, lekin updates kabhi slow kar dete hain",neutral
"Daraz return policy theek hai, lekin time consuming hoti hai",neutral
"Careem aur Bykea dono ka apna market hai, depend karta hai user ki need pe",neutral
FoodPanda ka rider kabhi fast milta hai kabhi wait karna padta hai,neutral
Easypaisa aur JazzCash charges zyada different nahi lagte,neutral
OLX pe buyer aur seller dono par depend karta hai experience,neutral
"Bykea se short rides theek lagti hain, long rides costly hoti hain",neutral
YouTube product reviews har bar trust worthy nahi lagte,neutral
Daraz pe delivery experience area ke hisaab se change hota hai,neutral
Careem ka AC kabhi theek chalta hai kabhi weak hota hai,neutral
"FoodPanda app ka UI simple hai, lekin kuch features missing hain",neutral
"JazzCash se mobile load karna bilkul easy hai, ek do click mein kaam ho jata hai",positive
"Easypaisa ka cashback offer acha laga, groceries pe bachat ho gayi",positive
"Bykea ki ride short distance ke liye perfect hai, sasti aur fast",positive
"Careem ne mujhe airport se pick kia aur driver punctual tha, zabardast service",positive
"FoodPanda par restaurant variety bohot hai, naye cuisines try karne ka maza ata hai",positive
Daraz se headphones order kiye aur sound quality expected se better thi,positive
"OLX par ek old bike khareedi aur condition waqai achi thi, seller ne sach bola",positive
Ye YouTube vlogger ka style casual tha lekin review bohot informative laga,positive
"JazzCash ne electricity bill instantly clear kar dia, hassle free process",positive
Easypaisa se university fees pay krna easy tha aur receipt turant mil gayi,positive
Bykea rider ne polite tareeqe se baat ki aur time save ho gaya,positive
Careem rewards points ko redeem kar k discount lena bohot acha lagta hai,positive
"FoodPanda ka app interface clean hai, use karna simple hai",positive
"Daraz ka live tracking helpful tha, pata chalta raha parcel kidhar hai",positive
OLX seller cooperative tha aur price reasonable rakha,positive
JazzCash debit card ka design stylish bhi hai aur kaam bhi smooth karta hai,positive
Easypaisa ne new update ke baad login process fast kar diya,positive
"Bykea ki delivery reliable hai, office documents safe pohanch gaye",positive
Careem captain professional tha aur seat belt remind bhi karwaya,positive
"FoodPanda ke notifications timely hain, kabhi order miss nahi hota",positive
"Daraz mall products pe trust hai, ab sirf wahi prefer karta hoon",positive
"YouTube ka cooking channel genuine lagta hai, recipes simple aur tasty banti hain",positive
"JazzCash ka customer support iss dafa helpful tha, issue 5 minute mein solve ho gaya",positive
"Easypaisa wallet ka balance check karna instant hai, pasand aya",positive
"Bykea se parcel bhejna economical hai, courier ke muqable mein sasta",positive
"Careem ne exact pickup location pe aana easy kar dia, GPS accurate tha",positive
"FoodPanda par kuch restaurants free delivery dete hain, bohot acha lagta hai",positive
"Daraz app pe filter option useful hai, jaldi required cheez mil jati hai",positive
OLX par ek laptop liya aur condition original packing jaisi thi,positive
JazzCash app ka dark mode feature acha lagta hai,positive
Easypaisa ke seasonal offers se savings hoti hain,positive
"Bykea ka cancellation fee low hai, isi liye prefer karta hoon",positive
"Careem ki car fragrance fresh thi, trip mazedaar tha",positive
"FoodPanda ke rider friendly hote hain, polite baat karte hain",positive
Daraz se gaming mouse order kia aur packaging professional thi,positive
"YouTube ke reviews genuine aur bina overhype ke lagte hain, acha experience",positive
"OLX pe customer support fast response deta hai, issue resolve ho gaya",positive
"Easypaisa app ka design clean aur modern hai, easy to use",positive
"Bykea ka interface user friendly hai, easily ride book ho jati hai",positive
Careem ne estimated time sahi diya aur ride bilkul on time thi,positive
"FoodPanda ka order galat aaya, biryani ki jagah pulao bhej dia",negative
"JazzCash app login bar bar fail hota hai, irritating hai",negative
"Easypaisa se transfer kia paisa pending mein atak gaya, bohot bura experience",negative
"Bykea rider ne route unnecessarily lamba le lia, fare zyada aa gaya",negative
"Careem captain ka behaviour rough tha, uncomfortable ride hui",negative
Daraz se mobile cover order kia lekin size fit hi nahi tha,negative
"OLX pe ek ad fake nikla, seller ne respond karna band kar dia",negative
"YouTube vlogger sirf free products dikhata hai, sach nahi bolta",negative
JazzCash balance deduct ho gaya lekin recharge nahi hua,negative
"Easypaisa app update ke baad aur heavy ho gayi hai, slow chalti hai",negative
Bykea delivery late thi aur parcel half torn tha,negative
"Careem app hang ho gayi trip ke darmiyan, bohot problem hua",negative
"FoodPanda ka discount code apply hi nahi hota, waste of time",negative
Daraz ki packaging weak thi aur item scratch hua aaya,negative
"OLX pe fraudster se pala para, advance paisay le kar bhaag gaya",negative
"YouTube channel sirf clickbait titles use karta hai, content weak hai",negative
JazzCash se fees pay ki thi par system pe reflect hi nahi hua,negative
Easypaisa se bill pay kia lekin duplicate charges lag gaye,negative
Bykea rider bohot late aya aur excuse banata raha,negative
"Careem ka fare har dafa unpredictable hota hai, reliable nahi",negative
FoodPanda rider rude tone mein baat kar raha tha,negative
Daraz return process lengthy aur frustrating hai,negative
"OLX pe buyer ne fake note de dia, bohot risky hai",negative
"YouTube review biased tha, sponsor ki tareef hi karta raha",negative
"JazzCash ke hidden charges bohot zyada hain, bilkul unfair",negative
Easypaisa ki customer service se baat karna mushkil hai,negative
"Bykea app bar bar crash hoti hai, ride book hi nahi hoti",negative
Careem ne extra surcharges add kar diye without reason,negative
"FoodPanda support ne complaint ignore kar di, bilkul help nahi ki",negative
Daraz delivery time promise se double lag gaya,negative
"OLX par verification system weak hai, fake ads easily post ho jate hain",negative
"JazzCash account block kar dia bina prior notice, inconvenience hua",negative
"Easypaisa ne OTP send hi nahi kia, login impossible ho gaya",negative
Bykea ne parcel galat address pe deliver kar dia,negative
"Careem captain ne ride cancel kar di 3 dafa, time waste",negative
FoodPanda par khanay ki quality down ho rahi hai,negative
Daraz se shoes order kiye aur dono alag size ke aa gaye,negative
"YouTube vlogger overacting karta hai, review seriously nahi le sakte",negative
OLX seller ne original keh kar duplicate item dia,negative
"JazzCash app ka layout confusing hai, easily navigate nahi hota",negative
"JazzCash aur Easypaisa dono use karta hoon, ek hi din mein mixed results milte hain",neutral
"Careem ka fare kabhi normal lagta hai kabhi high, location pe depend karta hai",neutral
"Daraz ka order experience har bar alag hota hai, kabhi acha kabhi average",neutral
FoodPanda se kabhi fresh food milta hai aur kabhi thoda late aata hai,neutral
OLX pe deals karna risk bhi hai aur faida bhi mil sakta hai,neutral
"Bykea ka ride service short trips pe theek lagta hai, long ride costly hoti hai",neutral
"YouTube ke reviews hamesha ek jese nahi lagte, kabhi helpful kabhi waste of time",neutral
"Easypaisa aur JazzCash dono apps daily kaam ke liye reliable hain, bas charges different hain",neutral
Daraz sales mein prices low hoti hain magar stock limited hota hai,neutral
Careem aur InDrive dono ka apna apna faida hai,neutral
FoodPanda discount codes kabhi apply ho jate hain aur kabhi expire milte hain,neutral
"JazzCash ka interface average hai, simple bhi hai magar modern touch missing hai",neutral
Bykea ka location tracking kabhi accurate hota hai kabhi glitch,neutral
Easypaisa ka helpline kabhi helpful hota hai aur kabhi busy line milti hai,neutral
OLX par sellers ki honesty par depend karta hai experience,neutral
Daraz reviews se kabhi product sahi guess hota hai kabhi mislead,neutral
Careem captain kabhi friendly hota hai aur kabhi sirf normal drive deta hai,neutral
FoodPanda ki service har city mein ek jesi nahi hoti,neutral
YouTube vlogs kabhi entertaining lagte hain kabhi boring,neutral
JazzCash aur Easypaisa dono apps ek jesi lagti hain features ke hisaab se,neutral
Bykea ka fare reasonable lagta hai magar traffic delay common hai,neutral
Daraz pe quality kabhi achi hoti hai kabhi compromise lagti hai,neutral
"Careem app theek chalti hai, sirf kabhi kabhi slow hoti hai",neutral
Easypaisa recharge process mostly smooth hai lekin kabhi error aa jata hai,neutral
OLX pe cheez milti bhi hai aur kabhi time waste bhi hota hai,neutral
"FoodPanda app use karna easy hai, kuch options missing lagte hain",neutral
YouTube ke product reviews kabhi genuine lagte hain kabhi biased,neutral
JazzCash updates se kabhi app fast hoti hai kabhi aur slow ho jati hai,neutral
Daraz ka return policy thoda long hai magar chal jati hai,neutral
"Careem aur Bykea dono rides try ki hain, dono ka experience mixed hai",neutral
FoodPanda rider kabhi fast pohanchta hai aur kabhi wait krwana padta hai,neutral
Easypaisa aur JazzCash ka transaction speed almost same lagta hai,neutral
OLX deals buyer aur seller dono par depend karti hain,neutral
"Bykea se short rides theek hain, long rides comfortable nahi lagti",neutral
"YouTube ka content har creator pe depend karta hai, quality vary karti hai",neutral
Daraz par delivery speed area ke hisaab se different hoti hai,neutral
Careem ka AC kabhi theek hota hai kabhi weak,neutral
FoodPanda ka UI simple hai lekin advanced options missing hain,neutral
