text,sentiment
دراز پر چیزوں کے ریویو نظر آتے ہیں,neutral
"InDrive pe driver ne ajeeb jaga utara, bola k aage rasta band he",negative
واریڈ کمپنی کا انٹرنیٹ پیکیج لمٹ ختم ہونے سے پہلے ہی سست,negative
"Daraz pe jo parcel aya wo damaged tha, ab refund nahi mil raha",negative
ڈراز سے خریدا گیا فون چارجر ایک دن میں خراب ہو گیا,negative
ان ڈرائیو میں مختلف گاڑیوں کے آپشن ہیں,neutral
Instagram story upload karne ka option available hai,neutral
Bank Alfalah app se transaction history download kari,neutral
Careem mein location drop karna mushkil hota hai,neutral
IMO video call quality network speed pe depend karta hai,neutral
JazzCash ka login kabhi kabhi slow hota hai,neutral
YouTube Shorts bhi TikTok ki tarah hain,neutral
JazzCash ka login kabhi kabhi slow ho jata hai,neutral
Motorola phone software bugs hain calling feature mein,negative
FoodPanda par delivery time show hota hai,neutral
دراز کا ڈیلیوری ٹائم کبھی زیادہ ہوتا ہے,neutral
Bykea ka rider kal se call kar rha hai lekin location pe nahi aa rha,negative
ایس جی سی کا گیس کنکشن لگانے کا وقت بہت زیادہ لگا,negative
یوٹیوب پر ویڈیوز بہت زیادہ ہیں,neutral
Careem ki car types different hain,neutral
PTCL ki website par bill ki duplicate copy download ki,neutral
"Daraz se jo product mangwaya tha wo copy nikla, original nahi tha",negative
JazzCash se bills pay karne par fees lagti hai,neutral
InDrive par driver ka choice hota hai,neutral
Google Pay transaction receipt email mein save hai,neutral
JazzCash account me OTP code thoda late aya tha,neutral
دراذ پر کل رات ڈلیوری کنفرم ہوئی,neutral
فوڈ پانڈا پر کم از کم آرڈر کی حد ہوتی ہے,neutral
TikTok videos low quality hain aur content boring hai,negative
ٹک ٹاک پر ویڈیو کے ویوز کی تعداد دیکھی,neutral
ایزی پیسہ ایجنٹ نے کمیشن زیادہ کاٹا اور کوئی رسید نہیں دی,negative
Meezan Bank app par login attempts show ho rahe the,neutral
"Bykea ka rider ajeeb raaste se le ke gaya, waqt barbad kar diya",negative
کے الیکٹرک کا بل 3000 روپے کا تھا,neutral
WhatsApp backup restore nahi ho raha bar bar try kia,negative
Mad Mimi feature set limited hai advanced email marketing ke liye,negative
OLX par used bikes bhi bikti hain,neutral
سندھ بلڈنگ کنٹرول اتھارٹی کی آن لائن اپلیکیشن جمع نہیں ہو رہی,negative
کے الیکٹرک کی لوڈ شیڈنگ کی معلومات ملیں,neutral
بائیکیا کی سروس کے اوقات کار مقرر ہیں,neutral
"Easypaisa se payment ki thi, par transaction fail ho gayi aur paise bhi kat gaye",negative
بائیکیا کا ڈرائیور راستہ پوچھ رہا ہے,neutral
فوڈ پانڈا کا آرڈر کینسل ہونے کے بعد ریفنڈ کا عمل بہت سست,negative
ٹک ٹاک پر ویڈیو آٹو پلے ہو رہی تھی,neutral
دراز پر مفت ڈلیوری شاید ہی ملتی ہے,neutral
ایزی پیسہ میں ایزی لوڈ کا آپشن ہے,neutral
بائیکیا سواری نے جی-10 سے ایف-8 کا راستہ لیا,neutral
Viber call quality distorted hai international calls mein,negative
ایزی پیسہ کا موبائل ایپ اپ ڈیٹ ہو گیا,neutral
ایزی پیسہ شاپ میں کیش آؤٹ کرنے میں اضافی چارجز لگائے گئے,negative
TikTok par ads har teesre video ke baad aate hain,neutral
دراذ کا پروڈکٹ لسٹ میں موجود تھا,neutral
کریم کی سواری کا او ٹی پی ڈرائیور سے شیئر کیا گیا,neutral
ٹک ٹاک پر کئی لوگ ناچ رہے تھے,neutral
ان ڈرائیو میں ڈرائیور اور مسافر دونوں آپشن ہوتے ہیں,neutral
Vivo phone software update notification aya tha,neutral
Mailgun pricing calculation complex hai usage based billing ke sath,negative
JazzCash ka QR code payment hai,neutral
جاز کیش سے موبائل نمبر پر رقم بھیجی گئی تھی,neutral
Careem driver ne mask pehna hua tha ride me,neutral
دراز پر پروڈکٹ کی تفصیلات موجود ہیں,neutral
پی ٹی سی ایل کے آفس کا پتہ ویب سائٹ پر ملا,neutral
دبئی اسلامک بینک کا انٹرنیٹ بینکنگ لاگ ان کرنے میں سیکیورٹی ایشو,negative
iPhone battery health percentage check kia recently,neutral
بائیکیا پر ڈرائیور آپ کو واپس کال کرتا ہے,neutral
YouTube par subtitles kabhi accurate hoti hain kabhi nahi,neutral
Easypaisa ki app update aati rehti hai,neutral
Mailjet delivery rate statistics dashboard mein visible hain,neutral
SNGPL ki website par bill history dekhi gayi,neutral
Careem ki gariyan alag alag models ki hoti hain,neutral
Sui Gas ka bilal me 3 bar meter reading galat ayi hai,negative
Bykea ka driver rating system hai,neutral
Noon delivery packaging poor tha product damaged aya,negative
InDrive mein driver accept karne ka wait karna parta hai,neutral
فوڈ پانڈا کا کسٹمر سپورٹ نمبر ہمیشہ آٹومیٹک میسج دیتا ہے,negative
اولیکس پر موبائل فون کی لسٹنگ دیکھی,neutral
جاز کیش میں آئی بی اے ایف ٹی کرتے وقت ٹرانزیکشن پینڈنگ رہ گئی,negative
چیٹئی سے آرڈر کی کنفرمیشن آئی,neutral
Bykea ka driver kabhi kabhi late ho jata hai,neutral
ان ڈرائیو کی سبسکرپشن خریدنے کے باوجود اشتہارات آتے ہیں,negative
Netflix buffering issue hai slow internet connection pe,negative
Line sticker download failed multiple attempts ke baad bhi,negative
Skype contact list update automatically ho jata hai,neutral
کریم میں منزل کا پتہ تبدیل کیا جا سکتا ہے,neutral
Bykea mein drivers ki availability kam hoti hai,neutral
کریم کی ڈرائیور کا رابطہ نہیں ہو رہا ہے,neutral
WhatsApp par video call ka option hai,neutral
LG TV remote app phone pe install kia,neutral
Meezan Bank ki app par loan ki detail show ho rahi thi,neutral
Constant Contact subscriber import process time consuming hai,negative
میزان بینک کی ایپ پر لاگ ان کی کوشش کی گئی,neutral
InDrive pe driver ne pehle accept kia phir kaha traffic bohot hai,negative
کے الیکٹرک کے عملے نے میٹر تبدیل کرنے میں بہت دیر لگائی,negative
بائیکیا کا ڈرائیور لیٹ آیا ہے,neutral
Bykea par drivers kaafi busy rehte hain,neutral
Gmail spam filter ineffective hai unwanted emails aa jate hain,negative
HP printer ink cartridge expensive hai replacement cost high,negative
بائیکیا کی بکنگ فوراً ہو گئی ہے,neutral
ان ڈرائیو کے کپتان مؤدب اور پیشہ ور ہوتے ہیں,neutral
ایس این جی پی ایل کا بل آن لائن پے کرنے میں سائٹ ہینگ ہو گئی,negative
اولیکس پر اکاؤنٹ ویریفائی کرنے کا پیغام موصول ہوا,neutral
Telenor balance inquiry ke liye code dial kia,neutral
InDrive mein rate negotiation hoti hai,neutral
InDrive driver ne ride complete hone ki request send ki,neutral
HP printer driver download website se kia tha,neutral
Bykea ka rate barh jata hai rush hour mein,neutral
K-Electric ka bill galat generate hota hai frequently,negative
Daraz delivery late hui aur product bhi low quality nikla,negative
TikTok videos me kabhi background sound high hoti hai,neutral
Bykea rider ne Gulberg se Defence tak ka route liya,neutral
ActiveCampaign automation workflow confusing hai setup karne ke liye,negative
"Careem ka GPS sahi kaam nahi kr raha, har baar address ghalat show krta hai",negative
ان ڈرائیو کے ڈرائیور کا فون نمبر ایپ میں دکھایا جاتا ہے,neutral
کراچی واٹر اینڈ سیوریج بورڈ کا آن لائن بل کنفیرم نہیں ہوا,negative
دراز سے خریدا گیا لیپ ٹاپ چارجر اصل برانڈ کا نہیں تھا,negative
پی ٹی سی ایل کا بل ویب سائٹ پر دستیاب ہے,neutral
بائیکیا کی بائیک والے نے محفوظ طریقے سے سفر کرایا,neutral
InDrive par ride ka fare pehle se pata hota hai,neutral
OLX ka interface ajkal thoda change hua hai,neutral
یوٹیوب کی نوٹیفکیشن سیٹنگ کام نہیں کر رہی ٹھیک سے,negative
دراز کی ایپ میں نوٹیفکیشن کی سیٹنگ دیکھی,neutral
کے الیکٹرک کی پیمنٹ آن لائن کی گئی,neutral
کریم ڈرائیور نے کار کی حالت بہت خراب تھی اور صفائی نہیں تھی,negative
ایزی پیسہ کا لاگ ان کچھ سست ہے,neutral
آر پی جی سی ایل کا گیس پریشر کم ہونے کی شکایت کا کوئی حل نہیں,negative
اولیکس میں سرچ فلٹر کا استعمال کیا گیا,neutral
Shopify store setup process step by step guide hai,neutral
سوئی گیس میٹر کی تبدیلی کی درخواست دی گئی,neutral
بائیکیا کی سروس کا استعمال کیا گیا,neutral
فوڈ پانڈا میں ویجیٹیرین کھانے کا الگ سیکشن ہے,neutral
ان ڈرائیو میں ڈرائیور کی ratings دیکھی جا سکتی ہے,neutral
Careem ride start hone se pehle otp dalna parta hai,neutral
بائیکا کی سواری کچھ دیر بعد ملی,neutral
بائیکیا کا ڈرائیور ہیلمٹ نہیں پہن رہا تھا اور ٹریفک رولز نہیں مان رہا,negative
K-Electric ka online bill portal maintenance par tha,neutral
Constant Contact event management feature explore kia hai,neutral
یوٹیوب چینل کو سبسکرائب کرنے کا آپشن ہے,neutral
Daraz par product ki description hoti hai,neutral
یوٹیوب کا آٹو پلے فیچر کبھی کبھی کام نہیں کرتا,negative
Microsoft Office subscription auto renewal notification late aya,negative
Discord server invite link share karne ka feature hai,neutral
دراز کا ریٹرن پالیسی بہت پیچیدہ اور وقت طلب ہے,negative
بائیکا ایپ کا نقشہ صحیح دکھا رہا تھا,neutral
WhatsApp par photos compressed hoti hain,neutral
Zong customer support response bilkul disappointing tha,negative
ایزی پیسہ کے واؤچر کل استعمال ہوئے,neutral
ان ڈرائیو کی ڈاؤن لوڈ اسپیڈ بہت سست اور مہنگی ہے,negative
یوٹیوب میں ویڈیو کی کوالٹی خودکار کم ہو جاتی ہے,negative
"JazzCash ka customer support bohot hi bekaar hai, sirf rulaate rehte hain",negative
کریم کے رائیڈ اسٹوری میں اوقات لکھے تھے,neutral
"K-Electric ne bill pe extra charges laga diye hain, helpline b jawab nahi deti",negative
eBay auction ending time notification aya tha,neutral
TikTok par challenges chaltay rehtay hain,neutral
کریم کی ایپ پرانے ماڈل کی لگتی ہے,neutral
FoodPanda par restaurant ka menu dekhna hota hai,neutral
بائیکیا رائیڈ کے دوران موٹر سائیکل میں تکنیکی خرابی آئی,negative
ایف آئی اے کی پاسپورٹ کی اپلیکیشن کی پروسیسنگ بہت سست,negative
جاز کیش میں مختلف سروسز کی فہرست ہے,neutral
ایزی پیسہ شاپ کیپر نے سروس فیس کے نام پر اضافی پیسے لیے,negative
ان ڈرائیو کا ایپ موبائل میں انسٹال کیا گیا,neutral
بلوچستان حکومت کی ویب سائٹ پر کوئی اہم معلومات نہیں ملتیں,negative
یوٹیوب میں ویڈیو کی کوالٹی سیٹ کرنے کا آپشن ہے,neutral
پی ٹی سی ایل کا انٹرنیٹ پیکج دیکھا گیا,neutral
Sony headphones Bluetooth pairing successful ho gaya,neutral
یوفون کا ڈیٹا پیکیج کی رفتار اعلان کے مطابق نہیں ملتی,negative
ان ڈرائیو میں اردو فلموں کا انتخاب بہت کم اور پرانا ہے,negative
واٹس ایپ کا بیک اپ ری اسٹور کرتے وقت کچھ میسیجز چھوٹ گئے,negative
FoodPanda par order ka expected delivery time 30 minute tha,neutral
اولیکس میں ایڈ کو بوسٹ کرنے کا پیڈ فیچر ہے,neutral
ٹک ٹاک پر نئے گانے آتے رہتے ہیں,neutral
جاز کیش سے یوٹیلٹی بل پے کرتے وقت غلط رقم کٹ گئی,negative
JazzCash app par mobile load ka option dekha,neutral
Netflix subscription renewal date next month hai,neutral
Careem ka driver rude tha aur route galat choose kiya,negative
FoodPanda ka live chat option kabhi available hota hai kabhi nahi,neutral
FoodPanda ka rider route thoda lamba choose kar raha tha,neutral
JazzCash par OTP late aata hai,neutral
کریم کے ذریعے شہر کے دوسرے حصے میں گئے,neutral
اولکس پر آج نئی کیٹیگری دیکھی,neutral
ان ڈرائیو میں کرایہ پہلے سے معلوم ہو جاتا ہے,neutral
Mozilla Firefox startup time slow hai compared to other browsers,negative
پی ٹی سی ایل کا انٹرنیٹ بل 1500 روپے کا تھا,neutral
OLX par ek bike ka ad post hua hai,neutral
ایس این جی پی ایل کی ویب سائٹ پر بل کی ہسٹری دیکھی گئی,neutral
Careem ka driver thoda der se aya magar ride theek thi,neutral
ایزی پیسہ میں نئی سروس کا آپشن دکھا,neutral
کے پی کے ریونیو ڈپارٹمنٹ کی ویب سائٹ پر پراپرٹی ریکارڈ نہیں مل رہا,negative
Benchmark Email delivery speed slow hai compared to competitors,negative
"Daraz se jo shoes mangwaye wo tootay hue nikle, bohot gussa aa rha hai",negative
HBL mobile banking login credentials reset kiye hain,neutral
Vivo phone storage quickly full ho jata hai system files se,negative
فوڈ پانڈا کا ڈیلیوری چارجز بہت زیادہ ہے اور کھانا بھی ٹھنڈا آیا,negative
دراز پر واپسی کا طریقہ کافی لمبا ہے,neutral
YouTube ads bahut zyada aa rahe hain har video mein,negative
ان ڈرائیو کی ایپ کا سائز بڑا ہے,neutral
"Easypaisa se loan lia tha, ab charges bohot zyada lag rahe hain",negative
ٹک ٹاک میں ڈیوئٹ ویڈیو بنانے کا فیچر ہے,neutral
Bykea ride ka kiraya thoda different tha aj,neutral
کل کریم کی بکنگ آرام سے ہو گئی تھی,neutral
داراز پر ایک ٹی شرٹ کا سائز دیکھا جا رہا تھا,neutral
سندھ ہیلتھ کیئر کمیشن کی ویب سائٹ ہمیشہ میں ٹینینس موڈ میں رہتی ہے,negative
واٹس ایپ کا نیا اپڈیٹ بہت سست ہے اور میسجز دیر سے پہنچ رہے,negative
Easypaisa se bill payment kia tha last week,neutral
Careem ride ka estimated time 15 minute show ho raha tha,neutral
"Careem ka driver behes kar rha tha, bohot badtameezi se baat ki usne",negative
PTCL ka internet roz disconnect hota hai,negative
Daraz se koi cheez mangwate waqt sochna parta hai,neutral
Viber backup restore process complete ho gaya,neutral
دراز کا کسٹمر سپورٹ چیٹ کبھی جواب نہیں دیتا,negative
Grab service area limited hai city ke bahar nahi milti,negative
Careem driver ka contact number message mein aya,neutral
FoodPanda se delivery partner different tha aj,neutral
Bykea booking ke liye GPS on karna parta hai,neutral
Cheetay ka rider wrong address pe gaya tha,negative
InDrive ki app choti hai aur simple hai,neutral
FoodPanda discount code expire show kar raha tha,neutral
GetResponse landing page builder limited customization options provide karta hai,negative
سوئی گیس کمپنی کی نوٹیفکیشن پڑھی گئی,neutral
فوڈ پانڈا کی ایپ میں ریستوران کی فہرست طویل ہے,neutral
"FoodPanda ka khana delivery ke baad thanda ho gaya tha, aur quantity b kam thi",negative
اولیکس میں ایڈ پوسٹ کرنے کے لیے اکاؤنٹ درکار ہے,neutral
Careem ki car ride ka fare 450 rupay show ho raha tha,neutral
JazzCash se bill pay kia tha par abhi tak update nahi hua,negative
Amazon shipping charges expensive hain local products ke liye,negative
داراز کا آرڈر ڈلیوری کے لیے روانہ ہو چکا ہے,neutral
"K-Electric bill itna high kyn aa rha he, koi samjh nahi aa rahi",negative
Emma pricing structure confusing hai different tiers ke sath,negative
اولیکس پر کار کی تفصیلات اور قیمت دی گئی,neutral
FoodPanda par ek restaurant ka closing time dekha,neutral
ایزی پیسہ میں بل پیمنٹ کی سہولت موجود ہے,neutral
ان ڈرائیو میں کرایے کا حساب کتاب دیکھا,neutral
ConvertKit subscriber management confusing hai large database handle karne mein,negative
Careem ki service charges ride par depend karti hain,neutral
"Bank ki app mein paisay nahi show ho rahay, account me kitna balance hai pata nahi",negative
کریم کی بکنگ میں انتظار کرنا پڑتا ہے,neutral
WhatsApp par media send karne ki limit hai,neutral
InDrive pe driver ne aakhir mein kaha k aage bohot traffic hai,negative
FoodPanda ka rider location sahi show ho raha tha,neutral
"OLX pe ad post kar diya hai, abhi tak reply nahi aaya",neutral
Lenovo keyboard keys stuck ho jate hain dust accumulation se,negative
یوٹیوب پر ایک ویڈیو میں اشتہار چل رہا تھا,neutral
Drip interface cluttered hai navigation difficult karta hai users ke liye,negative
OLX par ek mobile phone ka ad post hua hai,neutral
پنجاب اسکول ایجوکیشن ڈپارٹمنٹ کی ویب سائٹ ہمیشہ سرور ایرر دیتی ہے,negative
کے الیکٹرک کے علاقے میں بجلی کی صورتحال مستحکم ہے,neutral
OLX par ek purani fridge ka ad post hua tha,neutral
WhatsApp par stickers bhi bheje ja sakte hain,neutral
نادرا کی ویب سائٹ پر آئی ڈی کارڈ کی اپلیکیشن جمع نہیں ہو رہی,negative
JazzCash ke QR scan option kaam kar raha tha,neutral
داراز پر ایک کتاب کا آرڈر دیا گیا تھا,neutral
"NADRA se b-form bnaya tha par ab tak nahi mila, koi progress hi nahi hai",negative
جاز کیش ایپ پر بل کی ادائیگی کا ریکارڈ دیکھا گیا,neutral
فوڈ پانڈا کے کوپنز کی مختلف شرائط و ضوابط ہیں,neutral
ٹک ٹاک پر ٹرینڈنگ ویڈیوز کی فہرست دیکھی,neutral
کریم کار میں اے سی نہیں چل رہا تھا اور ڈرائیور نے معذرت بھی نہیں کی,negative
Edge browser password manager suggestion show karta hai,neutral
Bykea rider ne customer ko pick-up point par message kia,neutral
بائیکیا میں ڈرائیورز کی تعداد کم ہوتی ہے,neutral
Daraz par order ka tracking status show ho raha tha,neutral
کے پی کے کی صحت ڈپارٹمنٹ کی ویب سائٹ اکثر اکسیس نہیں ہوتی,negative
OLX par buyer ko alert rehna chahiye,neutral
YouTube par channel ko block kar sakte hain,neutral
TikTok videos autoplay automatically start ho jati hain,neutral
بائیکیا کے ڈرائیور نے راستہ بدل لیا ہے,neutral
ایجوکیشن بورڈ کے امتحانی نتائج دیکھنے میں مسائل ہو رہے ہیں,negative
